"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Sanity","0","Response contract","1","0","","0"
"0","Functional","0","Pagination","1","0","","0"
"0","Functional","0","Record retrieval","1","0","","0"
"0","Negative & Boundary","0","Error handling","2","0","","0"
"0","Negative & Boundary","0","Boundary values","2","0","","0"
"0","Sanity","0","Service availability","1","0","","0"
"0","Functional","0","Record creation","1","0","","0"
"0","Functional","0","Record update","1","0","","0"
"0","Functional","0","Record deletion","1","0","","0"
"0","Negative & Boundary","0","Input validation","1","0","","0"
