"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Confirms the response is valid JSON with the expected top-level shape","259","responseHasExpectedShape","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.SanityTests","Full Regression","com.nikhil.qa.tests.SanityTests","responseHasExpectedShape"
"GET the collection with a page param should return list metadata","3017","listRecords_withPageParam_returnsMetadata","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.FunctionalTests","Full Regression","com.nikhil.qa.tests.FunctionalTests","listRecords_withPageParam_returnsMetadata"
"GET the just-created record by id and confirm the data matches","351","getRecord_afterCreate_returnsRecord","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.FunctionalTests","Full Regression","com.nikhil.qa.tests.FunctionalTests","getRecord_afterCreate_returnsRecord"
"GET a record with a non-existent id should return 404, not a silent empty 200","387","getRecord_withInvalidId_returns404","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.NegativeTests","Full Regression","com.nikhil.qa.tests.NegativeTests","getRecord_withInvalidId_returns404"
"Requesting a collection slug that doesn't exist should return 404, not 200 with empty data","349","listRecords_fromNonexistentCollection_returns404","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.NegativeTests","Full Regression","com.nikhil.qa.tests.NegativeTests","listRecords_fromNonexistentCollection_returns404"
"Requesting page=0 (below valid range) should not cause a server error","322","listRecords_withZeroPage_doesNotServerError","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.NegativeTests","Full Regression","com.nikhil.qa.tests.NegativeTests","listRecords_withZeroPage_doesNotServerError"
"Requesting a limit above the documented max (100) should not cause a server error","354","listRecords_withOverMaxLimit_doesNotServerError","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.NegativeTests","Full Regression","com.nikhil.qa.tests.NegativeTests","listRecords_withOverMaxLimit_doesNotServerError"
"Confirms the API is reachable and returns a healthy status code","2011","apiIsReachable","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.SanityTests","Full Regression","com.nikhil.qa.tests.SanityTests","apiIsReachable"
"POST a valid record and expect 201 with the submitted fields echoed back","423","createRecord_withValidPayload_returns201","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.FunctionalTests","Full Regression","com.nikhil.qa.tests.FunctionalTests","createRecord_withValidPayload_returns201"
"PUT an updated payload and confirm the response reflects the new values","203","updateRecord_withValidPayload_returns200","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.FunctionalTests","Full Regression","com.nikhil.qa.tests.FunctionalTests","updateRecord_withValidPayload_returns200"
"DELETE the record and confirm 204, then confirm a follow-up GET returns 404","495","deleteRecord_returns204ThenNotFound","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.FunctionalTests","Full Regression","com.nikhil.qa.tests.FunctionalTests","deleteRecord_returns204ThenNotFound"
"POST without the required 'data' field should be rejected, not accepted as an empty record","2014","createRecord_withMissingDataField_isRejected","Regression Suite","2026-07-25","passed","2026-07-25","com.nikhil.qa.tests.NegativeTests","Full Regression","com.nikhil.qa.tests.NegativeTests","createRecord_withMissingDataField_isRejected"
